Ticket,Weight
1601,7
CA. 2343,7
347082,7
CA 2144,6
347088,6
3101295,6
S.O.C. 14879,5
382652,5
PC 17757,4
4133,4
2666,4
19950,4
113781,4
349909,4
LINE,4
113760,4
347077,4
W./C. 6608,4
17421,4
345773,3
110152,3
371110,3
29106,3
C.A. 34651,3
363291,3
35273,3
347742,3
110413,3
13502,3
230080,3
C.A. 31921,3
24160,3
PC 17572,3
F.C.C. 13529,3
248727,3
SC/Paris 2123,3
239853,3
PC 17755,3
PC 17582,3
PC 17760,3
29750,2
244252,2
3101278,2
2627,2
243847,2
2908,2
31027,2
239865,2
237736,2
231919,2
230433,2
244367,2
2699,2
28403,2
26360,2
2691,2
2678,2
248738,2
2668,2
250644,2
250647,2
2665,2
2661,2
2659,2
250649,2
2653,2
2651,2
250655,2
345764,2
364516,2
347054,2
347080,2
C.A. 37671,2
P/PP 3381,2
PC 17477,2
PC 17485,2
PC 17558,2
PC 17569,2
PC 17593,2
PC 17604,2
PC 17608,2
PC 17611,2
PC 17758,2
PC 17761,2
PP 9549,2
S.C./PARIS 2079,2
S.O./P.P. 3,2
STON/O2. 3101279,2
W./C. 6607,2
C.A. 33112,2
C.A. 2673,2
C.A. 2315,2
36947,2
349237,2
35281,2
358585,2
364849,2
367226,2
367230,2
36928,2
36973,2
A/5. 3336,2
370129,2
370365,2
376564,2
392096,2
54636,2
7534,2
A/4 48871,2
230136,2
WE/P 5735,2
17474,2
113798,2
113505,2
11751,2
19996,2
113806,2
113803,2
19943,2
16966,2
220845,2
19928,2
111361,2
19877,2
113789,2
11967,2
12749,2
113572,2
11668,2
17453,2
110465,2
13507,2
113776,2
11767,2
382651,1
113792,1
113787,1
376566,1
4579,1
4138,1
4137,1
113783,1
A/5 3536,1
4136,1
A/5 3540,1
A/5 3594,1
4135,1
4134,1
A/5 3902,1
A/5. 10482,1
113788,1
65303,1
394140,1
382649,1
A/5. 13032,1
A/5. 2151,1
392092,1
392091,1
386525,1
384461,1
383121,1
5727,1
A/5 21172,1
A/5 21171,1
8471,1
A/4. 39886,1
A/5 21173,1
A/4. 34244,1
A/4. 20589,1
A/5 21174,1
113784,1
A/4 45380,1
A.5. 18509,1
A.5. 11206,1
A./5. 3235,1
A./5. 2152,1
9234,1
8475,1
A/5 2466,1
65306,1
7598,1
7553,1
7552,1
7546,1
7545,1
113794,1
7540,1
113786,1
A/5 2817,1
7267,1
695,1
693,1
6563,1
65304,1
228414,1
374910,1
364500,1
362316,1
11753,1
363294,1
363592,1
364498,1
364499,1
364506,1
374887,1
364511,1
364512,1
11752,1
364846,1
364848,1
364850,1
36209,1
11755,1
35852,1
35851,1
11765,1
350417,1
350407,1
350406,1
